state,district,samples,n_pos,s_pos,ns_pos,round,date_start,date_end,notes
Andhra Pradesh,Vizianagaram,410,57,166,172,3,2020-12-01,2021-01-31,
Tamil Nadu,Chennai,408,72,166,175,3,2020-12-01,2021-01-31,
Odisha,Ganjam,408,95,142,157,3,2020-12-01,2021-01-31,
Karnataka,Gulbarga,429,47,113,117,3,2020-12-01,2021-01-31,
Andhra Pradesh,Krishna,403,70,148,154,3,2020-12-01,2021-01-31,
Maharashtra,Jalgaon,427,67,121,135,3,2020-12-01,2021-01-31,
Bihar,Muzaffarpur,401,41,87,93,3,2020-12-01,2021-01-31,
Bihar,Madhubani,404,63,99,113,3,2020-12-01,2021-01-31,
Maharashtra,Parbhani,426,46,81,88,3,2020-12-01,2021-01-31,
Punjab,Ludhiana,399,56,89,101,3,2020-12-01,2021-01-31,
Telangana,Jangoan,427,59,106,112,3,2020-12-01,2021-01-31,
Bihar,Begusarai,413,48,62,77,3,2020-12-01,2021-01-31,
Jammu and Kashmir,Pulwama,419,99,132,145,3,2020-12-01,2021-01-31,
Odisha,Rayagada,407,87,154,166,3,2020-12-01,2021-01-31,
Bihar,Arwal,416,63,109,118,3,2020-12-01,2021-01-31,
Assam,Kamrup Metropolitan,408,89,134,150,3,2020-12-01,2021-01-31,
Karnataka,Bangalore,418,81,126,142,3,2020-12-01,2021-01-31,
Uttar Pradesh,Bareilly,398,51,92,97,3,2020-12-01,2021-01-31,
Gujarat,Mahisagar,407,11,15,20,3,2020-12-01,2021-01-31,
Jharkhand,Pakur,397,44,63,75,3,2020-12-01,2021-01-31,
Telangana,Nalgonda,420,59,96,108,3,2020-12-01,2021-01-31,
Bihar,Buxar,422,71,110,121,3,2020-12-01,2021-01-31,
Uttar Pradesh,Mau,417,72,89,108,3,2020-12-01,2021-01-31,
Andhra Pradesh,Sri Potti Sriramulu Nellore,405,96,121,127,3,2020-12-01,2021-01-31,
Bihar,Purnia,414,56,87,98,3,2020-12-01,2021-01-31,
Madhya Pradesh,Gwalior,402,68,107,112,3,2020-12-01,2021-01-31,
Punjab,Jalandhar,398,55,66,77,3,2020-12-01,2021-01-31,
West Bengal,South 24 Parganas,414,103,150,167,3,2020-12-01,2021-01-31,
Maharashtra,Nanded,420,61,109,121,3,2020-12-01,2021-01-31,
West Bengal,Purba Medinipur,415,79,124,133,3,2020-12-01,2021-01-31,
West Bengal,Alipurduar,415,90,163,175,3,2020-12-01,2021-01-31,
Uttar Pradesh,Gautam Buddha Nagar,398,77,109,126,3,2020-12-01,2021-01-31,
Uttar Pradesh,Unnao,401,44,66,76,3,2020-12-01,2021-01-31,
Maharashtra,Ahmadnagar,433,64,98,106,3,2020-12-01,2021-01-31,
Maharashtra,Sangli,426,88,156,161,3,2020-12-01,2021-01-31,
Telangana,Kamareddy,413,51,102,106,3,2020-12-01,2021-01-31,
Punjab,Patiala,400,59,75,84,3,2020-12-01,2021-01-31,
Maharashtra,Bid,421,57,98,106,3,2020-12-01,2021-01-31,
Madhya Pradesh,Dewas,390,51,58,73,3,2020-12-01,2021-01-31,
Uttar Pradesh,Jyotiba Phule Nagar,395,62,80,92,3,2020-12-01,2021-01-31,
Haryana,Kurukshetra,397,45,60,66,3,2020-12-01,2021-01-31,
Punjab,Gurdaspur,399,75,81,101,3,2020-12-01,2021-01-31,
Uttar Pradesh,Saharanpur,396,41,51,60,3,2020-12-01,2021-01-31,
Tamil Nadu,Coimbatore,411,69,91,100,3,2020-12-01,2021-01-31,
Uttar Pradesh,Gonda,417,31,54,60,3,2020-12-01,2021-01-31,
Tamil Nadu,Tiruvannamalai,409,86,116,127,3,2020-12-01,2021-01-31,
Karnataka,Chitradurga,442,67,96,103,3,2020-12-01,2021-01-31,
Assam,Udalguri,407,90,114,142,3,2020-12-01,2021-01-31,
