state,district,samples,n_pos,s_pos,ns_pos,round,date_start,date_end,notes
Gujarat,Narmada,401,41,42,47,3,2020-12-01,2021-01-31,
Jharkhand,Latehar,398,37,48,60,3,2020-12-01,2021-01-31,
Madhya Pradesh,Ujjain,405,53,78,84,3,2020-12-01,2021-01-31,
Rajasthan,Dausa,390,49,62,75,3,2020-12-01,2021-01-31,
Uttar Pradesh,Balrampur,390,58,62,80,3,2020-12-01,2021-01-31,
West Bengal,Bankura,413,94,137,143,3,2020-12-01,2021-01-31,
Odisha,Koraput,401,96,124,140,3,2020-12-01,2021-01-31,
West Bengal,Jhargram,419,89,110,119,3,2020-12-01,2021-01-31,
Chhattisgarh,Bijapur,396,134,150,176,3,2020-12-01,2021-01-31,
Gujarat,Sabar Kantha,399,62,75,83,3,2020-12-01,2021-01-31,
Assam,Karbi Anglong,413,71,86,102,3,2020-12-01,2021-01-31,
Chhattisgarh,Surguja,396,33,31,43,3,2020-12-01,2021-01-31,
Uttarakhand,Garhwal,399,61,66,77,3,2020-12-01,2021-01-31,
Chhattisgarh,Kabeerdham,399,54,73,81,3,2020-12-01,2021-01-31,
Rajasthan,Rajsamand,404,58,57,69,3,2020-12-01,2021-01-31,
Kerala,Ernakulam,420,38,54,61,3,2020-12-01,2021-01-31,
Rajasthan,Jalor,409,75,74,93,3,2020-12-01,2021-01-31,
Kerala,Thrissur,418,50,36,59,3,2020-12-01,2021-01-31,
Jharkhand,Simdega,400,59,68,78,3,2020-12-01,2021-01-31,
Uttar Pradesh,Auraiya,398,61,86,99,3,2020-12-01,2021-01-31,
Kerala,Palakkad,408,46,55,58,3,2020-12-01,2021-01-31,
Himachal Pradesh,Kullu,400,153,141,166,3,2020-12-01,2021-01-31,
Andhra Pradesh,Vizianagaram,418,159,NA,NA,2,2020-08-01,2020-09-30,
Tamil Nadu,Chennai,421,141,NA,NA,2,2020-08-01,2020-09-30,
Odisha,Ganjam,418,178,NA,NA,2,2020-08-01,2020-09-30,
Karnataka,Gulbarga,419,79,NA,NA,2,2020-08-01,2020-09-30,
Andhra Pradesh,Krishna,399,117,NA,NA,2,2020-08-01,2020-09-30,
Maharashtra,Jalgaon,405,105,NA,NA,2,2020-08-01,2020-09-30,
Bihar,Muzaffarpur,420,69,NA,NA,2,2020-08-01,2020-09-30,
Bihar,Madhubani,430,102,NA,NA,2,2020-08-01,2020-09-30,
Maharashtra,Parbhani,480,73,NA,NA,2,2020-08-01,2020-09-30,
Punjab,Ludhiana,399,75,NA,NA,2,2020-08-01,2020-09-30,
Telangana,Jangoan,454,83,NA,NA,2,2020-08-01,2020-09-30,
Bihar,Begusarai,429,62,NA,NA,2,2020-08-01,2020-09-30,
Jammu and Kashmir,Pulwama,413,113,NA,NA,2,2020-08-01,2020-09-30,
Odisha,Rayagada,404,98,NA,NA,2,2020-08-01,2020-09-30,
Bihar,Arwal,408,69,NA,NA,2,2020-08-01,2020-09-30,
Assam,Kamrup Metropolitan,435,91,NA,NA,2,2020-08-01,2020-09-30,
Karnataka,Bangalore,436,81,NA,NA,2,2020-08-01,2020-09-30,
Uttar Pradesh,Bareilly,400,48,NA,NA,2,2020-08-01,2020-09-30,
Gujarat,Mahisagar,404,10,NA,NA,2,2020-08-01,2020-09-30,
Jharkhand,Pakur,401,40,NA,NA,2,2020-08-01,2020-09-30,
Telangana,Nalgonda,422,47,NA,NA,2,2020-08-01,2020-09-30,
Bihar,Buxar,422,55,NA,NA,2,2020-08-01,2020-09-30,
Uttar Pradesh,Mau,406,53,NA,NA,2,2020-08-01,2020-09-30,
Andhra Pradesh,Sri Potti Sriramulu Nellore,428,76,NA,NA,2,2020-08-01,2020-09-30,
Bihar,Purnia,420,42,NA,NA,2,2020-08-01,2020-09-30,
Madhya Pradesh,Gwalior,438,54,NA,NA,2,2020-08-01,2020-09-30,
Punjab,Jalandhar,400,39,NA,NA,2,2020-08-01,2020-09-30,
West Bengal,South 24 Parganas,418,71,NA,NA,2,2020-08-01,2020-09-30,
Maharashtra,Nanded,439,43,NA,NA,2,2020-08-01,2020-09-30,
West Bengal,Purba Medinipur,404,52,NA,NA,2,2020-08-01,2020-09-30,
West Bengal,Alipurduar,425,61,NA,NA,2,2020-08-01,2020-09-30,
Uttar Pradesh,Gautam Buddha Nagar,400,50,NA,NA,2,2020-08-01,2020-09-30,
Uttar Pradesh,Unnao,400,26,NA,NA,2,2020-08-01,2020-09-30,
Maharashtra,Ahmadnagar,447,39,NA,NA,2,2020-08-01,2020-09-30,
Maharashtra,Sangli,467,55,NA,NA,2,2020-08-01,2020-09-30,
Telangana,Kamareddy,433,30,NA,NA,2,2020-08-01,2020-09-30,
Punjab,Patiala,399,33,NA,NA,2,2020-08-01,2020-09-30,
Maharashtra,Bid,443,33,NA,NA,2,2020-08-01,2020-09-30,
Madhya Pradesh,Dewas,395,27,NA,NA,2,2020-08-01,2020-09-30,
Uttar Pradesh,Jyotiba Phule Nagar,399,30,NA,NA,2,2020-08-01,2020-09-30,
Haryana,Kurukshetra,400,20,NA,NA,2,2020-08-01,2020-09-30,
Punjab,Gurdaspur,400,33,NA,NA,2,2020-08-01,2020-09-30,
Uttar Pradesh,Saharanpur,402,18,NA,NA,2,2020-08-01,2020-09-30,
Tamil Nadu,Coimbatore,428,31,NA,NA,2,2020-08-01,2020-09-30,
Uttar Pradesh,Gonda,413,13,NA,NA,2,2020-08-01,2020-09-30,
Tamil Nadu,Tiruvannamalai,410,35,NA,NA,2,2020-08-01,2020-09-30,
Karnataka,Chitradurga,432,26,NA,NA,2,2020-08-01,2020-09-30,
Assam,Udalguri,412,31,NA,NA,2,2020-08-01,2020-09-30,
Gujarat,Narmada,399,13,NA,NA,2,2020-08-01,2020-09-30,
Jharkhand,Latehar,401,11,NA,NA,2,2020-08-01,2020-09-30,
Madhya Pradesh,Ujjain,418,15,NA,NA,2,2020-08-01,2020-09-30,
Rajasthan,Dausa,407,13,NA,NA,2,2020-08-01,2020-09-30,
Uttar Pradesh,Balrampur,408,14,NA,NA,2,2020-08-01,2020-09-30,
West Bengal,Bankura,422,20,NA,NA,2,2020-08-01,2020-09-30,
Odisha,Koraput,401,18,NA,NA,2,2020-08-01,2020-09-30,
West Bengal,Jhargram,428,15,NA,NA,2,2020-08-01,2020-09-30,
Chhattisgarh,Bijapur,400,22,NA,NA,2,2020-08-01,2020-09-30,
Gujarat,Sabar Kantha,402,10,NA,NA,2,2020-08-01,2020-09-30,
Assam,Karbi Anglong,418,11,NA,NA,2,2020-08-01,2020-09-30,
Chhattisgarh,Surguja,398,5,NA,NA,2,2020-08-01,2020-09-30,
Uttarakhand,Garhwal,400,9,NA,NA,2,2020-08-01,2020-09-30,
Chhattisgarh,Kabeerdham,401,7,NA,NA,2,2020-08-01,2020-09-30,
Rajasthan,Rajsamand,409,7,NA,NA,2,2020-08-01,2020-09-30,
Kerala,Ernakulam,418,4,NA,NA,2,2020-08-01,2020-09-30,
Rajasthan,Jalor,396,7,NA,NA,2,2020-08-01,2020-09-30,
Kerala,Thrissur,433,5,NA,NA,2,2020-08-01,2020-09-30,
Jharkhand,Simdega,399,5,NA,NA,2,2020-08-01,2020-09-30,
Uttar Pradesh,Auraiya,400,4,NA,NA,2,2020-08-01,2020-09-30,
Kerala,Palakkad,430,2,NA,NA,2,2020-08-01,2020-09-30,
Himachal Pradesh,Kullu,399,2,NA,NA,2,2020-08-01,2020-09-30,
Delhi,Delhi (Round-1),21387,5021,NA,NA,NA,2020-06-27,2020-07-10,Urban
Delhi,Delhi (Round-2),15000,4365,NA,NA,NA,2020-08-01,2020-08-07,Urban
Delhi,Delhi (Round-3),17409,4369,NA,NA,NA,2020-09-01,2020-09-05,Urban
Delhi,Delhi (Round-4),15015,3828,NA,NA,NA,2020-10-15,2020-10-21,Urban
Delhi,Delhi (Round-5),28000,15680,NA,NA,NA,2021-01-11,2021-01-21,Urban
Maharashtra,Mumbai (Round-1)2,6904,3735,NA,NA,NA,2020-06-29,2020-07-19,slums
Maharashtra,Mumbai (Round-1)2,6904,1111,NA,NA,NA,2020-06-29,2020-07-19,non-slums
Maharashtra,Mumbai (Round-2),5384,2417,NA,NA,NA,2020-08-01,2020-08-31,slums
Maharashtra,Mumbai (Round-2),5384,942,NA,NA,NA,2020-08-01,2020-08-31,non-slums
Maharashtra,Pune,1664,856,NA,NA,NA,2020-07-20,2020-08-05,Urban
Gujarat,Ahmedabad (Round 1),30054,5289,NA,NA,NA,2020-06-16,2020-07-11,Urban
Gujarat,Ahmedabad (Round 2),10310,2396,NA,NA,NA,2020-08-15,2020-08-29,Urban
Tamil Nadu,Chennai (Round 1)3,12405,2282,NA,NA,NA,2020-07-17,2020-07-28,Urban
Tamil Nadu,Chennai (Round 2),6366,1916,NA,NA,NA,2020-08-15,2020-10-15,Urban
Puducherry,Puducherry (Round-1),869,42,NA,NA,NA,2020-08-11,2020-08-16,Rural and Urban
Puducherry,Puducherry (Round-2),898,185,NA,NA,NA,2020-09-10,2020-09-16,Rural and Urban
Madhya Pradesh,Indore,7100,550,NA,NA,NA,2020-08-11,2020-08-23,Urban
Jammu and Kashmir,District Kashmir4,2906,104,NA,NA,NA,2020-07-01,2020-07-15,Rural and Urban
Jammu and Kashmir,Jammu and Kashmir (10 districts),6230,2417,NA,NA,NA,2020-10-01,2020-10-31,Rural and Urban
Karnataka,Karnataka (5 regions)5,1197,558,NA,NA,NA,2020-06-15,2020-08-29,Rural and Urban
Karnataka,Karnataka (30 districts),15624,2562,NA,NA,NA,2020-09-03,2020-09-16,Rural and Urban
Tamil Nadu,Tamil Nadu (37 districts)6,26135,8258,NA,NA,NA,2020-10-19,2020-11-30,Rural and Urban
Kerala,Kerala (14 districts),20939,2261,NA,NA,NA,2021-02-17,2021-02-28,Rural and Urban
Telangana,Hyderabad,9000,4860,NA,NA,NA,2021-01-01,2021-01-31,Urban
