"","region_iso","population","region"
"1","IN-AN",356152,"Andaman and Nicobar Islands"
"2","IN-AP",84580777,"Andhra Pradesh"
"3","IN-AR",1383727,"Arunachal Pradesh"
"4","IN-AS",31205576,"Assam"
"5","IN-BR",104099452,"Bihar"
"6","IN-CH",1055450,"Chandigarh"
"7","IN-CT",25545198,"Chhattisgarh"
"8","IN-DL",26495000,"Delhi"
"9","IN-GA",1458545,"Goa"
"10","IN-GJ",60439692,"Gujarat"
"11","IN-HP",6864602,"Himachal Pradesh"
"12","IN-HR",27761063,"Haryana"
"13","IN-JH",32988134,"Jharkhand"
"14","IN-JK",12258433,"Jammu and Kashmir"
"15","IN-KA",61130704,"Karnataka"
"16","IN-KL",34523726,"Kerala"
"17","IN-LA",274289,"Ladakh"
"18","IN-LD",60595,"Lakshadweep"
"19","IN-MH",112374333,"Maharashtra"
"20","IN-ML",3211000,"Meghalaya"
"21","IN-MN",2855794,"Manipur"
"22","IN-MP",72626809,"Madhya Pradesh"
"23","IN-MZ",1097206,"Mizoram"
"24","IN-NL",1978502,"Nagaland"
"25","IN-OR",41974218,"Odisha"
"26","IN-PB",27743338,"Punjab"
"27","IN-PY",973829,"Puducherry"
"28","IN-RJ",68548437,"Rajasthan"
"29","IN-SK",657876,"Sikkim"
"30","IN-TG",35193978,"Telangana"
"31","IN-TN",72147030,"Tamil Nadu"
"32","IN-TR",3673917,"Tripura"
"33","IN-UP",199812341,"Uttar Pradesh"
"34","IN-UT",10086292,"Uttarakhand"
"35","IN-WB",91276115,"West Bengal"
