State,Ages,n
India,All ages,1210854977
India,0-4,112806778
India,5-9,126928126
India,10-14,132709212
India,15-19,120526449
India,20-24,111424222
India,25-29,101413965
India,30-34,88594951
India,35-39,85140684
India,40-44,72438112
India,45-49,62318327
India,50-54,49069254
India,55-59,39146055
India,60-64,37663707
India,65-69,26454983
India,70-74,19208842
India,75-79,9232503
India,80+,11289005
India,Age not stated,4489802
State - JAMMU & KASHMIR (01),All ages,12541302
State - JAMMU & KASHMIR (01),0-4,1414884
State - JAMMU & KASHMIR (01),5-9,1411973
State - JAMMU & KASHMIR (01),10-14,1413853
State - JAMMU & KASHMIR (01),15-19,1237462
State - JAMMU & KASHMIR (01),20-24,1160913
State - JAMMU & KASHMIR (01),25-29,1086122
State - JAMMU & KASHMIR (01),30-34,926903
State - JAMMU & KASHMIR (01),35-39,837945
State - JAMMU & KASHMIR (01),40-44,714085
State - JAMMU & KASHMIR (01),45-49,590790
State - JAMMU & KASHMIR (01),50-54,468566
State - JAMMU & KASHMIR (01),55-59,340031
State - JAMMU & KASHMIR (01),60-64,322726
State - JAMMU & KASHMIR (01),65-69,203965
State - JAMMU & KASHMIR (01),70-74,184019
State - JAMMU & KASHMIR (01),75-79,85076
State - JAMMU & KASHMIR (01),80+,126870
State - JAMMU & KASHMIR (01),Age not stated,15119
State - HIMACHAL PRADESH (02),All ages,6864602
State - HIMACHAL PRADESH (02),0-4,544984
State - HIMACHAL PRADESH (02),5-9,591177
State - HIMACHAL PRADESH (02),10-14,639224
State - HIMACHAL PRADESH (02),15-19,640461
State - HIMACHAL PRADESH (02),20-24,643866
State - HIMACHAL PRADESH (02),25-29,589160
State - HIMACHAL PRADESH (02),30-34,546357
State - HIMACHAL PRADESH (02),35-39,517966
State - HIMACHAL PRADESH (02),40-44,445560
State - HIMACHAL PRADESH (02),45-49,395128
State - HIMACHAL PRADESH (02),50-54,330687
State - HIMACHAL PRADESH (02),55-59,266860
State - HIMACHAL PRADESH (02),60-64,231372
State - HIMACHAL PRADESH (02),65-69,158607
State - HIMACHAL PRADESH (02),70-74,130587
State - HIMACHAL PRADESH (02),75-79,75706
State - HIMACHAL PRADESH (02),80+,106737
State - HIMACHAL PRADESH (02),Age not stated,10163
State - PUNJAB (03),All ages,27743338
State - PUNJAB (03),0-4,2133529
State - PUNJAB (03),5-9,2368019
State - PUNJAB (03),10-14,2583402
State - PUNJAB (03),15-19,2817683
State - PUNJAB (03),20-24,2776636
State - PUNJAB (03),25-29,2463861
State - PUNJAB (03),30-34,2116539
State - PUNJAB (03),35-39,1989071
State - PUNJAB (03),40-44,1788469
State - PUNJAB (03),45-49,1587771
State - PUNJAB (03),50-54,1254464
State - PUNJAB (03),55-59,956555
State - PUNJAB (03),60-64,996590
State - PUNJAB (03),65-69,719588
State - PUNJAB (03),70-74,513472
State - PUNJAB (03),75-79,256666
State - PUNJAB (03),80+,379501
State - PUNJAB (03),Age not stated,41522
State - CHANDIGARH (04),All ages,1055450
State - CHANDIGARH (04),0-4,81854
State - CHANDIGARH (04),5-9,91194
State - CHANDIGARH (04),10-14,93464
State - CHANDIGARH (04),15-19,104418
State - CHANDIGARH (04),20-24,121244
State - CHANDIGARH (04),25-29,110237
State - CHANDIGARH (04),30-34,90803
State - CHANDIGARH (04),35-39,83672
State - CHANDIGARH (04),40-44,68921
State - CHANDIGARH (04),45-49,60352
State - CHANDIGARH (04),50-54,46942
State - CHANDIGARH (04),55-59,34925
State - CHANDIGARH (04),60-64,25801
State - CHANDIGARH (04),65-69,15839
State - CHANDIGARH (04),70-74,11385
State - CHANDIGARH (04),75-79,6422
State - CHANDIGARH (04),80+,7631
State - CHANDIGARH (04),Age not stated,346
State - UTTARAKHAND (05),All ages,10086292
State - UTTARAKHAND (05),0-4,924864
State - UTTARAKHAND (05),5-9,1058801
State - UTTARAKHAND (05),10-14,1145343
State - UTTARAKHAND (05),15-19,1124110
State - UTTARAKHAND (05),20-24,970068
State - UTTARAKHAND (05),25-29,810184
State - UTTARAKHAND (05),30-34,698300
State - UTTARAKHAND (05),35-39,665500
State - UTTARAKHAND (05),40-44,566709
State - UTTARAKHAND (05),45-49,489377
State - UTTARAKHAND (05),50-54,397158
State - UTTARAKHAND (05),55-59,318461
State - UTTARAKHAND (05),60-64,329056
State - UTTARAKHAND (05),65-69,218759
State - UTTARAKHAND (05),70-74,163443
State - UTTARAKHAND (05),75-79,84646
State - UTTARAKHAND (05),80+,104905
State - UTTARAKHAND (05),Age not stated,16608
State - HARYANA (06),All ages,25351462
State - HARYANA (06),0-4,2362519
State - HARYANA (06),5-9,2498757
State - HARYANA (06),10-14,2668678
State - HARYANA (06),15-19,2677390
State - HARYANA (06),20-24,2567486
State - HARYANA (06),25-29,2231959
State - HARYANA (06),30-34,1893591
